httpRequest.latency,httpRequest.protocol,httpRequest.referer,httpRequest.remoteIp,httpRequest.requestMethod,httpRequest.requestSize,httpRequest.requestUrl,httpRequest.responseSize,httpRequest.serverIp,httpRequest.status,httpRequest.userAgent,insertId,labels.instanceId,logName,receiveLocation,receiveTimestamp,resource.labels.configuration_name,resource.labels.location,resource.labels.project_id,resource.labels.revision_name,resource.labels.service_name,resource.type,severity,spanId,textPayload,timestamp,trace,traceSampled
0.323573771s,HTTP/1.1,http://localhost:4200/,91.240.5.97,GET,1735,https://interview-feedback-api-gl2nzwfaqq-ey.a.run.app/profile/permissions,1917,216.239.36.53,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",662a18130002a4267b980e57,00f46b92852e121c25c3637ae18c134655a4713f52f5c175858d74a104608c1a6a3291098e76c9cc33da691153a397a875142e449dec8ae42b4aef681058,projects/accesa-playground/logs/run.googleapis.com%2Frequests,,2024-04-25T08:45:07.262815369Z,interview-feedback-api,europe-west3,accesa-playground,interview-feedback-api-00283-r6w,interview-feedback-api,cloud_run_revision,INFO,7325769549787933289,,2024-04-25T08:45:06.848407Z,projects/accesa-playground/traces/9cf85fcf8133e0bb8a24bfc92d5845fb,
1.134570290s,HTTP/1.1,http://localhost:4200/,91.240.5.97,GET,1726,https://interview-feedback-api-gl2nzwfaqq-ey.a.run.app/group-list,113033,216.239.36.53,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",662a180f0003b0a8b27bd7f8,00f46b92852e121c25c3637ae18c134655a4713f52f5c175858d74a104608c1a6a3291098e76c9cc33da691153a397a875142e449dec8ae42b4aef681058,projects/accesa-playground/logs/run.googleapis.com%2Frequests,,2024-04-25T08:45:03.266695011Z,interview-feedback-api,europe-west3,accesa-playground,interview-feedback-api-00283-r6w,interview-feedback-api,cloud_run_revision,INFO,14391476725101870015,,2024-04-25T08:45:02.104652Z,projects/accesa-playground/traces/c0512e4283c632cf52eeeb10401420b7,
0.406411090s,HTTP/1.1,http://localhost:4200/,91.240.5.97,GET,1736,https://interview-feedback-api-gl2nzwfaqq-ey.a.run.app/profile/subscriptions,1411,216.239.36.53,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",662a180c000ef4d089fbb7b7,00f46b92852e121c25c3637ae18c134655a4713f52f5c175858d74a104608c1a6a3291098e76c9cc33da691153a397a875142e449dec8ae42b4aef681058,projects/accesa-playground/logs/run.googleapis.com%2Frequests,,2024-04-25T08:45:01.268345548Z,interview-feedback-api,europe-west3,accesa-playground,interview-feedback-api-00283-r6w,interview-feedback-api,cloud_run_revision,INFO,15411262034066284570,,2024-04-25T08:45:00.572626Z,projects/accesa-playground/traces/8c72ed356f7e3ded91c5517e66eb99a2,
0.401171643s,HTTP/1.1,http://localhost:4200/,91.240.5.97,GET,1735,https://interview-feedback-api-gl2nzwfaqq-ey.a.run.app/profile/permissions,1917,216.239.36.53,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",662a180c000ea7c37f611ef7,00f46b92852e121c25c3637ae18c134655a4713f52f5c175858d74a104608c1a6a3291098e76c9cc33da691153a397a875142e449dec8ae42b4aef681058,projects/accesa-playground/logs/run.googleapis.com%2Frequests,,2024-04-25T08:45:01.268345548Z,interview-feedback-api,europe-west3,accesa-playground,interview-feedback-api-00283-r6w,interview-feedback-api,cloud_run_revision,INFO,7989355226751993019,,2024-04-25T08:45:00.558176Z,projects/accesa-playground/traces/4e7c45b978629790c9d9836e46348220,
1.128777425s,HTTP/1.1,http://localhost:4200/,91.240.5.97,GET,1722,https://interview-feedback-api-gl2nzwfaqq-ey.a.run.app/profile,3895,216.239.36.53,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",662a180d000a701faa43e746,00f46b92852e121c25c3637ae18c134655a4713f52f5c175858d74a104608c1a6a3291098e76c9cc33da691153a397a875142e449dec8ae42b4aef681058,projects/accesa-playground/logs/run.googleapis.com%2Frequests,,2024-04-25T08:45:01.935140637Z,interview-feedback-api,europe-west3,accesa-playground,interview-feedback-api-00283-r6w,interview-feedback-api,cloud_run_revision,INFO,2353817975267360522,,2024-04-25T08:45:00.554213Z,projects/accesa-playground/traces/57a059c7f0a691824f7aacad722ffda7,
0.204391684s,HTTP/1.1,http://localhost:4200/,91.240.5.97,GET,1774,https://interview-feedback-api-gl2nzwfaqq-ey.a.run.app/profile/e739d651-d463-4ecb-91b0-9461ac30a5eb/subscriptions,1038,216.239.36.53,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",662a180c0005a56e60d8411d,00f46b92852e121c25c3637ae18c134655a4713f52f5c175858d74a104608c1a6a3291098e76c9cc33da691153a397a875142e449dec8ae42b4aef681058,projects/accesa-playground/logs/run.googleapis.com%2Frequests,,2024-04-25T08:45:00.602716434Z,interview-feedback-api,europe-west3,accesa-playground,interview-feedback-api-00283-r6w,interview-feedback-api,cloud_run_revision,INFO,3861533430093665163,,2024-04-25T08:45:00.164526Z,projects/accesa-playground/traces/602ff002c1641cee83342fbc86678df1,
1.171809545s,HTTP/1.1,http://localhost:4200/,91.240.5.97,GET,1722,https://interview-feedback-api-gl2nzwfaqq-ey.a.run.app/profile,3895,216.239.36.53,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",662a180c00016fa05467aef6,00f46b92852e121c25c3637ae18c134655a4713f52f5c175858d74a104608c1a6a3291098e76c9cc33da691153a397a875142e449dec8ae42b4aef681058,projects/accesa-playground/logs/run.googleapis.com%2Frequests,,2024-04-25T08:45:00.268883154Z,interview-feedback-api,europe-west3,accesa-playground,interview-feedback-api-00283-r6w,interview-feedback-api,cloud_run_revision,INFO,13262745035519627852,,2024-04-25T08:44:58.921110Z,projects/accesa-playground/traces/15e44bec8724d20902a660de222c5ddc,true
0.235996345s,HTTP/1.1,http://localhost:4200/,91.240.5.97,GET,1722,https://interview-feedback-api-gl2nzwfaqq-ey.a.run.app/profile/permissions,5367,216.239.36.53,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",662a1801000ac642e1fe2f27,00f46b92852e121c25c3637ae18c134655a4713f52f5c175858d74a104608c1a6a3291098e76c9cc33da691153a397a875142e449dec8ae42b4aef681058,projects/accesa-playground/logs/run.googleapis.com%2Frequests,,2024-04-25T08:44:49.946240705Z,interview-feedback-api,europe-west3,accesa-playground,interview-feedback-api-00283-r6w,interview-feedback-api,cloud_run_revision,INFO,16983141570978959391,,2024-04-25T08:44:49.468852Z,projects/accesa-playground/traces/955e5eac7a0b1a035ec151095a927fd5,
1.009267010s,HTTP/1.1,http://localhost:4200/,91.240.5.97,PATCH,1962,https://interview-feedback-api-gl2nzwfaqq-ey.a.run.app/group-permissions/f8b10197-6adf-4f29-b8cb-3d2c1590102e,1284,216.239.36.53,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",662a1800000eae26689c168d,00f46b92852e121c25c3637ae18c134655a4713f52f5c175858d74a104608c1a6a3291098e76c9cc33da691153a397a875142e449dec8ae42b4aef681058,projects/accesa-playground/logs/run.googleapis.com%2Frequests,,2024-04-25T08:44:49.280226337Z,interview-feedback-api,europe-west3,accesa-playground,interview-feedback-api-00283-r6w,interview-feedback-api,cloud_run_revision,INFO,14111372651343652898,,2024-04-25T08:44:47.951431Z,projects/accesa-playground/traces/cfda1b26c41ef043ca0fba4bf7de7ee5,
0.220999721s,HTTP/1.1,http://localhost:4200/,91.240.5.97,GET,1723,https://interview-feedback-api-gl2nzwfaqq-ey.a.run.app/profile/permissions,5367,216.239.36.53,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",662a17ff000b4be2bd56b95e,00f46b92852e121c25c3637ae18c134655a4713f52f5c175858d74a104608c1a6a3291098e76c9cc33da691153a397a875142e449dec8ae42b4aef681058,projects/accesa-playground/logs/run.googleapis.com%2Frequests,,2024-04-25T08:44:47.947605289Z,interview-feedback-api,europe-west3,accesa-playground,interview-feedback-api-00283-r6w,interview-feedback-api,cloud_run_revision,INFO,315090941184737465,,2024-04-25T08:44:47.518119Z,projects/accesa-playground/traces/1fa450f97c5bf2894e3833925f297c61,
